  6192 SUCCESS  17   2     476     309677     650.58
  1145 SUCCESS  17   2     495     353304     713.75
  4068 SUCCESS  85   3     651     497159     763.69
  3615 SUCCESS 181   5     821     599086     729.70
  3713 SUCCESS 200   4     756     501762     663.71
  7957 SUCCESS 169   6    1300     884473     680.36
  7100 SUCCESS 109   7    1076     746712     693.97
  9382 SUCCESS 200   7    1232     845028     685.90
  9948 SUCCESS 200   8    1441    1038001     720.33
  7551 SUCCESS 149   9    1555    1065698     685.34
  5731 SUCCESS 147   9    1703    1217342     714.82
   862 SUCCESS  14   2     484     330052     681.93
  5095 SUCCESS  13   2     480     285260     594.29
  7628 SUCCESS 171  10    1767    1173863     664.33
  1259 SUCCESS  13   2     455     285921     628.40
  6654 SUCCESS 166  12    2190    1334144     609.20
  2758 SUCCESS  16  13    2063    1535558     744.33
  3664 SUCCESS  13   3     630     424829     674.33
  5632 SUCCESS 190  13    2337    1595793     682.84
  6118 SUCCESS 168  20    3434    2585803     753.00
  5584 SUCCESS 200   4     851     604235     710.03
  9684 SUCCESS 200   5     872     556445     638.12
  2712 SUCCESS 200   6    1155     903356     782.13
  6040 SUCCESS 200   6    1066     743430     697.40
  3119 SUCCESS 127   7    1379    1019930     739.62
  1896 SUCCESS 155   8    1615    1138180     704.76
  5955 SUCCESS 200  13    2121    1644721     775.45
  3531 SUCCESS 200  12    2307    1694571     734.53
   371 SUCCESS 200  14    2506    2120393     846.13
  9740 SUCCESS 200  13    2438    1845305     756.89
  5987 SUCCESS 200  19    3533    2612142     739.36
